latitude,longitude,month,year,predicted_individuals
15.75,32.45,6,2017,500.90012
15.75,32.45,7,2017,612.77264
15.75,32.45,8,2017,771.5446
15.75,32.45,9,2017,981.9821
15.75,32.45,10,2017,1257.2102
15.75,32.45,11,2017,1621.7483
15.75,32.45,12,2017,2112.7463
15.75,32.45,1,2018,239.29073
15.75,32.45,2,2018,150.12715
15.75,32.45,3,2018,165.85518
15.75,32.45,4,2018,88.092
15.75,32.45,5,2018,120.1213
15.75,32.45,6,2018,181.73653
15.75,32.45,7,2018,264.69308
15.75,32.45,8,2018,382.76437
15.75,32.45,9,2018,538.1462
15.75,32.45,10,2018,739.4958
15.75,32.45,11,2018,1000.81366
14.73,33.3,12,2016,4327.5566
14.73,33.3,1,2017,2811.3955
14.73,33.3,2,2017,2662.477
14.73,33.3,3,2017,2818.3115
14.73,33.3,4,2017,2734.4968
14.73,33.3,5,2017,2724.4995
14.73,33.3,6,2017,2768.6904
14.73,33.3,7,2017,2830.2969
14.73,33.3,8,2017,2928.7385
14.73,33.3,9,2017,3070.235
14.73,33.3,10,2017,3260.279
14.73,33.3,11,2017,3510.3516
14.73,33.3,12,2017,3835.7583
14.73,33.3,1,2018,2459.3796
14.73,33.3,2,2018,2344.157
14.73,33.3,3,2018,2366.7175
14.73,33.3,4,2018,2280.8684
14.73,33.3,5,2018,2264.0217
14.73,33.3,6,2018,2280.973
14.73,33.3,7,2018,2316.8547
14.73,33.3,8,2018,2382.6887
14.73,33.3,9,2018,2481.299
14.73,33.3,10,2018,2616.9407
14.73,33.3,11,2018,2796.8826
12.15,24.95,10,2011,17090.9
12.15,24.95,11,2011,11600.859
12.15,24.95,12,2011,11048.971
12.15,24.95,1,2012,14412.062
12.15,24.95,2,2012,12536.49
12.15,24.95,3,2012,11722.412
12.15,24.95,4,2012,11366.613
12.15,24.95,5,2012,10678.845
12.15,24.95,6,2012,10154.957
12.15,24.95,7,2012,9694.8955
12.15,24.95,8,2012,9286.512
12.15,24.95,9,2012,8949.007
12.15,24.95,10,2012,8676.424
12.15,24.95,11,2012,8473.229
12.15,24.95,12,2012,8342.7705
12.15,24.95,1,2013,12058.958
12.15,24.95,2,2013,10751.551
12.15,24.95,3,2013,9984.159
12.15,24.95,4,2013,9642.522
12.15,24.95,5,2013,9028.312
12.15,24.95,6,2013,8530.132
12.15,24.95,7,2013,8092.0093
12.15,24.95,8,2013,7699.27
12.15,24.95,9,2013,7365.0474
13.55,33.4,10,2011,13083.179
13.55,33.4,11,2011,29731.053
13.55,33.4,12,2011,47784.94
13.55,33.4,1,2012,6814.566
13.55,33.4,2,2012,3677.6926
13.55,33.4,3,2012,7716.7866
13.55,33.4,4,2012,7816.7676
13.55,33.4,5,2012,7549.5283
13.55,33.4,6,2012,8478.843
13.55,33.4,7,2012,9455.735
13.55,33.4,8,2012,10575.036
13.55,33.4,9,2012,12304.184
13.55,33.4,10,2012,14922.607
13.55,33.4,11,2012,19169.738
13.55,33.4,12,2012,27191.062
13.55,33.4,1,2013,6020.666
13.55,33.4,2,2013,4363.286
13.55,33.4,3,2013,6649.5513
13.55,33.4,4,2013,6249.9697
13.55,33.4,5,2013,6221.7725
13.55,33.4,6,2013,6806.8794
13.55,33.4,7,2013,7363.963
13.55,33.4,8,2013,8074.899
13.55,33.4,9,2013,9099.673
13.33,33.5,10,2011,57389.94
13.33,33.5,11,2011,36032.02
13.33,33.5,12,2011,52958.83
13.33,33.5,1,2012,63139.38
13.33,33.5,2,2012,80804.67
13.33,33.5,3,2012,87956.375
13.33,33.5,4,2012,89986.875
13.33,33.5,5,2012,93959.836
13.33,33.5,6,2012,79030.305
13.33,33.5,7,2012,101215.555
13.33,33.5,8,2012,52147.84
13.33,33.5,9,2012,115842.62
13.33,33.5,10,2012,38534.57
13.33,33.5,11,2012,126657.72
13.33,33.5,12,2012,32727.068
13.33,33.5,1,2013,7616.637
13.33,33.5,2,2013,1516.7219
13.33,33.5,3,2013,9607.11
13.33,33.5,4,2013,9551.15
13.33,33.5,5,2013,9166.93
13.33,33.5,6,2013,12739.723
13.33,33.5,7,2013,17994.945
13.33,33.5,8,2013,29748.521
13.33,33.5,9,2013,65974.48
13.589332,22.701395,10,2011,14163.826
13.589332,22.701395,11,2011,15699.557
13.589332,22.701395,12,2011,25606.36
13.589332,22.701395,1,2012,23282.605
13.589332,22.701395,2,2012,24560.934
13.589332,22.701395,3,2012,31372.139
13.589332,22.701395,4,2012,36956.965
13.589332,22.701395,5,2012,52093.125
13.589332,22.701395,6,2012,82177.03
13.589332,22.701395,7,2012,70345.65
13.589332,22.701395,8,2012,68129.94
13.589332,22.701395,9,2012,68671.16
13.589332,22.701395,10,2012,59045.695
13.589332,22.701395,11,2012,59531.03
13.589332,22.701395,12,2012,53732.34
13.589332,22.701395,1,2013,50978.566
13.589332,22.701395,2,2013,55511.992
13.589332,22.701395,3,2013,71554.15
13.589332,22.701395,4,2013,95505.82
13.589332,22.701395,5,2013,96593.61
13.589332,22.701395,6,2013,92371.375
13.589332,22.701395,7,2013,112706.516
13.589332,22.701395,8,2013,83613.586
13.589332,22.701395,9,2013,96354.23
13.567891,26.345678,10,2015,4812.816
13.567891,26.345678,11,2015,5468.426
13.567891,26.345678,12,2015,6566.142
13.567891,26.345678,1,2016,4477.3184
13.567891,26.345678,2,2016,4217.848
13.567891,26.345678,3,2016,4110.124
13.567891,26.345678,4,2016,3762.0618
13.567891,26.345678,5,2016,3626.1404
13.567891,26.345678,6,2016,3540.385
13.567891,26.345678,7,2016,3481.678
13.567891,26.345678,8,2016,3485.3145
13.567891,26.345678,9,2016,3541.0134
13.567891,26.345678,10,2016,3655.7834
13.567891,26.345678,11,2016,3842.8044
13.567891,26.345678,12,2016,4118.099
13.567891,26.345678,1,2017,3486.301
13.567891,26.345678,2,2017,3296.982
13.567891,26.345678,3,2017,3149.4185
13.567891,26.345678,4,2017,2964.02
13.567891,26.345678,5,2017,2842.6313
13.567891,26.345678,6,2017,2753.019
13.567891,26.345678,7,2017,2692.831
13.567891,26.345678,8,2017,2669.8933
13.567891,26.345678,9,2017,2684.4338
13.95,22.45,9,2019,524.7834
13.95,22.45,10,2019,425.21017
13.95,22.45,11,2019,414.35812
13.95,22.45,12,2019,403.3547
13.95,22.45,1,2020,1184.2986
13.95,22.45,2,2020,1051.7273
13.95,22.45,3,2020,918.6994
13.95,22.45,4,2020,808.8161
13.95,22.45,5,2020,679.5993
13.95,22.45,6,2020,564.904
13.95,22.45,7,2020,464.55588
13.95,22.45,8,2020,378.07883
13.95,22.45,9,2020,306.28635
13.95,22.45,10,2020,249.08272
13.95,22.45,11,2020,206.5754
13.95,22.45,12,2020,179.07149
13.95,22.45,1,2021,962.1613
13.95,22.45,2,2021,833.9709
13.95,22.45,3,2021,706.45575
13.95,22.45,4,2021,600.8747
13.95,22.45,5,2021,477.6467
13.95,22.45,6,2021,367.84055
13.95,22.45,7,2021,271.21213
13.95,22.45,8,2021,187.29073
11.46,26.13,12,2011,12328.13
11.46,26.13,1,2012,10340.863
11.46,26.13,2,2012,12284.28
11.46,26.13,3,2012,10423.891
11.46,26.13,4,2012,10107.975
11.46,26.13,5,2012,10100.805
11.46,26.13,6,2012,9857.049
11.46,26.13,7,2012,9918.433
11.46,26.13,8,2012,10092.989
11.46,26.13,9,2012,10422.128
11.46,26.13,10,2012,10982.621
11.46,26.13,11,2012,11834.059
11.46,26.13,12,2012,13131.292
11.46,26.13,1,2013,9204.424
11.46,26.13,2,2013,8921.444
11.46,26.13,3,2013,8651.856
11.46,26.13,4,2013,8039.933
11.46,26.13,5,2013,7843.2754
11.46,26.13,6,2013,7680.9536
11.46,26.13,7,2013,7588.0107
11.46,26.13,8,2013,7603.961
11.46,26.13,9,2013,7708.83
11.46,26.13,10,2013,7927.068
11.46,26.13,11,2013,8282.962
11.48,26.14,12,2013,5988.64
11.48,26.14,1,2014,4746.7856
11.48,26.14,2,2014,4358.945
11.48,26.14,3,2014,4152.4736
11.48,26.14,4,2014,3891.8457
11.48,26.14,5,2014,3671.9001
11.48,26.14,6,2014,3477.4614
11.48,26.14,7,2014,3309.769
11.48,26.14,8,2014,3168.1152
11.48,26.14,9,2014,3052.3994
